bssid,essid,lat,lon,encryption,manufacturer,channel,date_insert,date_update
00:22:15:F0:09:1D,"Fibertel WiFi",-34.614766,-58.394565,WEP,AsustekC,6,,
00:22:15:F0:09:AA,BENJAMIN,-34.614841,-58.394161,WEP,AsustekC,1,,
00:22:15:F0:0B:10,"Fibertel WiFi357",-34.604167,-58.405413,WPA,AsustekC,6,,
00:22:2D:00:D7:05,"REY PISO 1A",-34.614830,-58.392914,WPA,SmcNetwo,0,,
00:22:2D:00:EB:F3,SMC,-34.604245,-58.407332,Open,SmcNetwo,6,,
00:22:2D:07:7B:7A,DeCristofaro,-34.611610,-58.395016,WEP,SmcNetwo,6,,
00:22:2D:07:8D:53,cynthia,-34.604370,-58.392849,Open,SmcNetwo,6,,
00:22:33:33:DE:0E,CASTILLO,-34.604519,-58.405979,WPA,AdbBroad,11,,
00:22:33:EE:B9:57,"Era Wi-Fi",-34.614392,-58.394735,WPA,AdbBroad,6,,
00:22:33:EF:74:FA,CROXY2012,-34.616459,-58.368710,WEP,AdbBroad,6,,
00:22:3F:24:18:10,NETGEAR,-34.617282,-58.361155,WPA,Netgear,1,,
00:22:55:0D:42:40,NovotelEventos,-34.603885,-58.385690,Open,Cisco,11,,
00:22:55:57:6C:C0,TelefonicaGuest,-34.603265,-58.376872,WPA,Cisco,6,,
00:22:55:57:6C:C1,RWC-002,-34.603210,-58.376495,WPA,Cisco,6,,
00:22:55:57:6C:C2,RWC-001,-34.603210,-58.376495,WPA,Cisco,6,,
00:22:55:57:6C:C7,"?Cloaked Network?",-34.603215,-58.376406,WPA,Cisco,6,,
00:22:55:57:6C:C8,osi-309,-34.603210,-58.376495,WPA,Cisco,6,,
00:22:57:1F:DB:FA,3Com,-34.603115,-58.375168,Open,3comEuro,6,,
00:22:57:1F:E9:0D,"FIUBA - BIBLIOTECA - 2",-34.617244,-58.365832,Open,3comEuro,5,,
00:22:57:20:53:CB,"Chetos Makein",-34.614846,-58.392680,WPA,3comEuro,6,,
00:22:57:21:45:EA,"Framafin S.A.",-34.607461,-58.366611,WPA,3comEuro,11,,
00:22:57:60:3E:8D,505-604,-34.603384,-58.378902,WPA,3comEuro,11,,
00:22:57:60:D3:32,Leonardo,-34.603919,-58.403177,WPA,3comEuro,6,,
00:22:57:EA:0A:81,"Hotel Madero Backup 3Com 6",-34.617346,-58.362342,Open,3comEuro,1,,
00:22:57:EA:0B:7F,"Hotel Madero Backup 3Com 5",-34.617287,-58.359737,Open,3comEuro,1,,
00:22:57:EA:7C:BC,"Wireless barco 2",-34.603187,-58.367313,WEP,3comEuro,1,,
00:22:6B:04:BD:58,PPP,-34.604187,-58.405458,WPA,Cisco-Li,6,,
00:22:6B:07:A0:AE,AlmaSalud,-34.604370,-58.393043,WPA,Cisco-Li,6,,
00:22:6B:48:0F:4A,lanegra,-34.605816,-58.389801,WPA,Cisco-Li,11,,
00:22:6B:4D:00:DA,PASCH,-34.603123,-58.371799,WPA,Cisco-Li,6,,
00:22:6B:4D:01:4C,Gestoria_Himitian,-34.603104,-58.375061,WPA,Cisco-Li,1,,
00:22:6B:4D:05:36,Goethe-wlan,-34.603109,-58.371763,WPA,Cisco-Li,4,,
00:22:6B:4D:06:50,Seoane,-34.617811,-58.391764,WPA,Cisco-Li,6,,
00:22:6B:4D:08:06,linksysAles,-34.614853,-58.392579,WPA,Cisco-Li,6,,
00:22:6B:51:CC:E5,TR1-23-Rio,-34.612160,-58.362785,WPA,Cisco-Li,6,,
00:22:6B:51:CD:06,Etchart,-34.604702,-58.366947,WPA,Cisco-Li,6,,
00:22:6B:51:CF:7F,taky,-34.615120,-58.391602,WPA,Cisco-Li,8,,
00:22:6B:51:DC:09,linksys.,-34.612102,-58.366261,Open,Cisco-Li,11,,
00:22:6B:54:B1:A7,linksys,-34.604465,-58.405902,WPA,Cisco-Li,1,,
00:22:6B:59:43:64,DipRecep,-34.604229,-58.401190,WPA,Cisco-Li,6,,
00:22:6B:5E:73:8B,Cyberdine,-34.607573,-58.390917,WEP,Cisco-Li,6,,
00:22:6B:5E:78:AA,whome,-34.617933,-58.387956,WEP,Cisco-Li,6,,
00:22:6B:5E:83:03,copal,-34.602962,-58.371391,WPA,Cisco-Li,6,,
00:22:6B:63:7E:DA,"AGUSTINA BERMEJO",-34.604360,-58.406992,WPA,Cisco-Li,6,,
00:22:6B:67:E4:33,WebShareNet,-34.618282,-58.391582,WPA,Cisco-Li,11,,
00:22:6B:6A:A1:87,thlg2009,-34.612156,-58.362768,WPA,Cisco-Li,6,,
00:22:6B:6A:AB:6B,Carreteras,-34.617072,-58.370365,WPA,Cisco-Li,6,,
00:22:6B:6A:AB:6E,Miguel,-34.617020,-58.370143,WEP,Cisco-Li,6,,
00:22:6B:6A:AF:28,dpto,-34.617641,-58.380100,WPA,Cisco-Li,6,,
00:22:6B:6A:AF:64,carlos,-34.604141,-58.407697,WPA,Cisco-Li,6,,
00:22:6B:6A:B0:AE,Benja,-34.603307,-58.377333,WPA,Cisco-Li,6,,
00:22:6B:70:B0:51,linksys,-34.604454,-58.395058,WPA,Cisco-Li,6,,
00:22:6B:70:B3:45,Sur2-6a,-34.612160,-58.362785,WPA,Cisco-Li,6,,
00:22:6B:70:B4:92,Norte3-2c,-34.612151,-58.362743,WPA,Cisco-Li,1,,
00:22:6B:70:B4:95,"WIFI SUR 1-3-A",-34.612150,-58.362884,WPA,Cisco-Li,11,,
00:22:6B:70:B4:9E,Norte3-3c,-34.610172,-58.366283,WPA,Cisco-Li,1,,
00:22:6B:70:B4:D4,"Sur II 6 D",-34.612142,-58.362742,WPA,Cisco-Li,11,,
00:22:6B:70:B5:2B,Norte3-4a,-34.611193,-58.364481,WPA,Cisco-Li,6,,
00:22:6B:70:B5:9D,Alfon,-34.612157,-58.362925,WPA,Cisco-Li,6,,
00:22:6B:70:B8:D6,Norte3-1b,-34.612160,-58.362785,WPA,Cisco-Li,11,,
00:22:6B:70:BA:41,estrans_puerto,-34.603673,-58.367398,WPA,Cisco-Li,7,,
00:22:6B:79:A4:C6,"Zarate (Linksys)",-34.607609,-58.390251,WEP,Cisco-Li,6,,
00:22:6B:7A:9C:5E,CTPBA-1P,-34.604371,-58.394646,WPA,Cisco-Li,11,,
00:22:6B:7B:8F:33,Weltdorf,-34.604494,-58.399591,WPA,Cisco-Li,11,,
00:22:6B:7B:92:DB,campora,-34.603956,-58.382893,WEP,Cisco-Li,6,,
00:22:6B:7B:93:0B,CORPORATE,-34.603720,-58.386496,WEP,Cisco-Li,6,,
00:22:6B:7B:93:29,EDZ,-34.604519,-58.405979,WPA,Cisco-Li,6,,
00:22:6B:81:7E:CD,Sentidos,-34.604210,-58.405510,WPA,Cisco-Li,6,,
00:22:6B:81:80:14,estudiolink,-34.604111,-58.390316,WPA,Cisco-Li,0,,
00:22:6B:81:80:68,ser,-34.617824,-58.385704,WPA,Cisco-Li,1,,
00:22:6B:85:94:3D,Camila,-34.617827,-58.391770,WPA,Cisco-Li,6,,
00:22:6B:85:99:20,Tenaz,-34.603371,-58.378815,WPA,Cisco-Li,11,,
00:22:6B:85:99:38,sybox_corrientes2,-34.604038,-58.385296,WPA,Cisco-Li,6,,
00:22:6B:85:99:B3,ARNET,-34.603660,-58.381613,WPA,Cisco-Li,6,,
00:22:6B:8C:49:F3,Visuales,-34.607763,-58.393832,WPA,Cisco-Li,6,,
00:22:6B:8F:58:2A,"pabloe9k wireless",-34.617201,-58.373151,WPA,Cisco-Li,6,,
00:22:6B:92:17:66,estudiob,-34.604164,-58.391453,WPA,Cisco-Li,11,,
00:22:6B:96:44:33,K1,-34.604134,-58.390510,WPA,Cisco-Li,11,,
00:22:6B:9A:D9:D3,AP-CASONA,-34.603275,-58.376926,WPA,Cisco-Li,6,,
00:22:6B:A5:9A:90,TMCongreso,-34.607939,-58.392313,WPA,Cisco-Li,6,,
00:22:6B:A5:AC:D8,IsaCorrientes1,-34.603946,-58.382960,WPA,Cisco-Li,6,,
00:22:6B:A6:F1:0E,"Elisabel WI FI",-34.603660,-58.367135,WPA,Cisco-Li,8,,
00:22:75:16:CF:28,"ni lo intentes",-34.603510,-58.380347,WPA,BelkinIn,1,,
00:22:75:5D:75:46,Hacker,-34.604424,-58.394951,WPA,BelkinIn,11,,
00:22:75:A7:4E:F8,"Matu Net",-34.604313,-58.407118,WPA,BelkinIn,2,,
00:22:75:CF:B7:50,"Nahuel Ponce",-34.604546,-58.406023,WPA,BelkinIn,2,,
00:22:75:D2:7C:60,Belkin_d27c60,-34.617618,-58.379009,Open,BelkinIn,11,,
00:22:75:E0:5F:AA,"GEN 924",-34.603496,-58.379967,WPA,BelkinIn,6,,
00:22:75:E3:EC:86,pausab,-34.614872,-58.394134,WPA,BelkinIn,1,,
00:22:75:E3:F5:AE,gf,-34.614838,-58.392827,WPA,BelkinIn,1,,
00:22:90:9A:22:10,mobip,-34.605001,-58.366917,WPA,Cisco,11,,
00:22:90:9A:25:E0,mobip,-34.604509,-58.366970,WPA,Cisco,1,,
00:22:90:9A:26:00,mobip,-34.604702,-58.366947,WPA,Cisco,6,,
00:22:90:9A:26:F0,mobip,-34.604382,-58.366993,WPA,Cisco,11,,
00:22:90:9A:29:80,mobip,-34.604651,-58.366957,WPA,Cisco,1,,
00:22:90:9A:29:90,mobip,-34.604273,-58.367015,WPA,Cisco,1,,
00:22:90:9A:29:A0,mobip,-34.604371,-58.367000,WPA,Cisco,6,,
00:22:93:C8:1F:20,WiFi1,-34.607666,-58.390045,WEP,Zte,6,,
00:22:93:C8:38:B8,ManBearPig,-34.604210,-58.407375,WPA,Zte,6,,
00:22:93:C8:42:AC,"Vane WiFi",-34.617627,-58.381084,WEP,Zte,11,,
00:22:93:C8:71:CC,InternetMHR,-34.610172,-58.366283,WPA,Zte,1,,
00:22:B0:40:4F:2F,"Estudio Contable",-34.607674,-58.390083,WPA,D-Link,6,,
00:22:B0:40:5C:F5,JOAO,-34.603523,-58.380810,Open,D-Link,6,,
00:22:B0:40:5D:45,dir300,-34.608548,-58.395190,WPA,D-Link,6,,
00:22:B0:40:7E:AF,RUBEN-VAIO_Network,-34.617739,-58.382983,WPA,D-Link,6,,
00:22:B0:40:81:8D,Hirschfeld,-34.606105,-58.389466,WPA,D-Link,3,,
00:22:B0:40:A0:AD,Esperando,-34.610741,-58.395035,WPA,D-Link,6,,
00:22:B0:41:16:B1,RpDlink,-34.610394,-58.366272,WPA,D-Link,6,,
00:22:B0:43:BB:E5,"Medicina 2009 cliffi",-34.604210,-58.407375,WPA,D-Link,2,,
00:22:BD:9B:2A:C0,WLMVH,-34.602785,-58.370120,WPA,Cisco,5,,
00:22:BE:92:F4:90,"?Cloaked Network?",-34.604817,-58.410679,WEP,Cisco,6,,
00:22:BE:92:F4:F0,"?Cloaked Network?",-34.604367,-58.410429,WEP,Cisco,11,,
00:22:BE:92:F5:90,"?Cloaked Network?",-34.604356,-58.410410,WPA,Cisco,6,,
00:22:BE:92:F5:C0,"?Cloaked Network?",-34.604971,-58.410766,WEP,Cisco,6,,
00:23:04:5B:25:D0,AES_Argentina_R2,-34.602419,-58.367965,WPA,Cisco,11,,
00:23:04:5B:25:D1,AES_Guest,-34.602417,-58.367935,WEP,Cisco,11,,
00:23:12:00:16:F3,lizzie,-34.604150,-58.391273,Open,Apple,11,,
00:23:12:FB:06:D3,"Daniela Simunkova Huml's Network",-34.607950,-58.395032,WPA,Apple,9,,
00:23:12:FB:DD:B9,"Red de Fernando Franco",-34.617973,-58.364738,WPA,Apple,10,,
00:23:13:02:40:42,corr2762,-34.604519,-58.405979,WEP,QoolTech,6,,
00:23:13:02:52:4A,Wireless-N,-34.618048,-58.390051,Open,QoolTech,6,,
00:23:13:04:AC:6A,Escribania,-34.603992,-58.385273,Open,QoolTech,11,,
00:23:54:01:1B:E4,AFRANCO,-34.605629,-58.410873,WPA,AsustekC,6,,
00:23:54:01:1C:ED,"Colfer SRL",-34.603380,-58.378906,Open,AsustekC,1,,
00:23:54:02:0F:7F,WebSTAR,-34.617782,-58.384513,Open,AsustekC,6,,
00:23:54:37:F0:D8,"service dwg",-34.604069,-58.402740,WPA,AsustekC,6,,
00:23:54:AE:29:06,"Fibertel WiFi481",-34.617170,-58.372710,WPA,AsustekC,11,,
00:23:54:AE:4F:62,FT-BECERRA,-34.604252,-58.396389,WPA,AsustekC,6,,
00:23:54:AE:D7:AE,"Fibertel WiFi pato",-34.607184,-58.390555,WPA,AsustekC,6,,
00:23:54:AE:DC:1A,"Fibertel WiFi692",-34.603974,-58.384762,WPA,AsustekC,6,,
00:23:54:AE:E7:0A,"Fibertel WiFi347",-34.617782,-58.384292,WPA,AsustekC,6,,
00:23:54:AE:F3:02,"Fibertel WiFi647",-34.604315,-58.405691,WPA,AsustekC,6,,
00:23:54:AF:49:FD,Pellegrini,-34.607769,-58.389458,WPA,AsustekC,0,,
00:23:54:AF:4B:67,Federico-bulat,-34.617992,-58.388910,WPA,AsustekC,11,,
00:23:54:AF:4B:7C,ft-monica,-34.606022,-58.390358,WEP,AsustekC,0,,
00:23:54:AF:4E:73,"LAURA 1G",-34.604045,-58.388213,WEP,AsustekC,10,,
00:23:54:AF:52:6D,Ft-SOSA,-34.606590,-58.388943,WEP,AsustekC,6,,
00:23:54:AF:56:F0,ft_john,-34.604038,-58.388298,WPA,AsustekC,6,,
00:23:68:15:BE:30,HHT,-34.603789,-58.386152,WEP,Motorola,6,,
00:23:68:24:22:C0,EWLAN,-34.602838,-58.370506,WPA,Motorola,1,,
00:23:68:28:66:D0,LunaPark,-34.602703,-58.369289,WPA,Motorola,1,,
00:23:68:28:66:D1,LunaParkEventos,-34.602703,-58.369289,WPA,Motorola,1,,
00:23:68:28:67:98,LunaPark,-34.602433,-58.368124,WPA,Motorola,1,,
00:23:68:28:67:99,LunaParkEventos,-34.602424,-58.368050,WPA,Motorola,1,,
00:23:68:28:92:21,LunaParkEventos,-34.602703,-58.369289,WPA,Motorola,1,,
00:23:69:07:E4:40,Roggiano,-34.604539,-58.406164,WPA,Cisco-Li,6,,
00:23:69:07:FA:28,HotelCorintioR2,-34.611557,-58.395016,WPA,Cisco-Li,0,,
00:23:69:08:A2:50,aerored0011,-34.604164,-58.401646,WPA,Cisco-Li,3,,
00:23:69:08:A2:51,Partigas11,-34.604164,-58.401646,WPA,Cisco-Li,3,,
00:23:69:09:38:B4,LACABANA,-34.602417,-58.367680,WPA,Cisco-Li,6,,
00:23:69:0C:04:98,Aglo,-34.607952,-58.392357,WPA,Cisco-Li,11,,
00:23:69:0C:08:18,TOUSON,-34.604519,-58.405979,WPA,Cisco-Li,11,,
00:23:69:25:4B:E4,Euge,-34.617173,-58.371909,WEP,Cisco-Li,11,,
00:23:69:29:84:68,KC99657,-34.611912,-58.366135,WPA,Cisco-Li,3,,
00:23:69:31:0F:A6,Wifi-Corrientes,-34.603834,-58.385949,WPA,Cisco-Li,6,,
00:23:69:38:38:E7,Lightbringer,-34.614827,-58.394285,WPA,Cisco-Li,11,,
00:23:69:3E:94:9D,NEOIMAGENES,-34.604365,-58.394610,WPA,Cisco-Li,11,,
00:23:69:42:22:1F,GABRIEL-PC_Network,-34.603344,-58.378416,WPA,Cisco-Li,6,,
00:23:69:43:42:BE,linksys,-34.617092,-58.370392,Open,Cisco-Li,1,,
00:23:69:43:4E:61,AEFIP,-34.604042,-58.388525,WPA,Cisco-Li,11,,
00:23:69:47:D4:04,Dany,-34.610065,-58.395103,WPA,Cisco-Li,0,,
00:23:69:47:D4:07,LESLIE,-34.617973,-58.388599,WPA,Cisco-Li,6,,
00:23:69:47:F3:0F,"Las Chicas",-34.614836,-58.392822,WPA,Cisco-Li,6,,
00:23:69:49:89:66,CasaRV,-34.604696,-58.366952,WPA,Cisco-Li,8,,
00:23:69:4D:6F:5D,patoandchris,-34.615950,-58.391690,Open,Cisco-Li,6,,
00:23:69:4E:2C:33,Hoffer,-34.604519,-58.405979,WPA,Cisco-Li,6,,
00:23:69:4E:3F:89,"dirot propiedades",-34.604049,-58.404876,WPA,Cisco-Li,6,,
00:23:69:54:C5:0F,CAMILA-PC_Network,-34.607505,-58.390686,WPA,Cisco-Li,6,,
00:23:69:55:5B:3F,OSOWLAN,-34.618215,-58.391549,WPA,Cisco-Li,6,,
00:23:69:89:9E:21,believe,-34.604224,-58.401244,WPA,Cisco-Li,11,,
00:23:69:8A:85:C3,"Los Rorros",-34.612160,-58.362785,WPA,Cisco-Li,6,,
00:23:69:8D:57:85,Theo,-34.611267,-58.395016,WPA,Cisco-Li,6,,
00:23:69:9B:81:21,cabildo,-34.614607,-58.394690,WPA,Cisco-Li,6,,
00:23:69:9B:C5:2E,LUMIERE,-34.604454,-58.395058,WPA,Cisco-Li,6,,
00:23:69:A5:FB:44,linksys,-34.604553,-58.406433,Open,Cisco-Li,0,,
00:23:69:A5:FE:CB,link_M,-34.603818,-58.382335,WEP,Cisco-Li,11,,
00:23:69:AD:65:E4,fernandez,-34.617835,-58.385984,WPA,Cisco-Li,6,,
00:23:69:B2:2B:DC,linksys,-34.603822,-58.404722,WPA,Cisco-Li,6,,
00:23:69:B4:CB:93,F-NET,-34.616454,-58.368503,WPA,Cisco-Li,10,,
00:23:69:BC:64:02,Milberg,-34.612146,-58.363408,WPA,Cisco-Li,10,,
00:23:69:BE:35:86,estudio,-34.604115,-58.387690,WPA,Cisco-Li,6,,
00:23:69:BE:67:9F,R&amp;HL,-34.612244,-58.364431,WPA,Cisco-Li,1,,
00:23:69:C0:25:7A,"DOUBLE U",-34.604528,-58.405994,WPA,Cisco-Li,6,,
00:23:69:C0:36:AE,Natalia,-34.604477,-58.398256,WPA,Cisco-Li,6,,
00:23:69:C2:A7:EC,TR1-34Rio,-34.617252,-58.358707,WPA,Cisco-Li,6,,
00:23:69:C2:AF:09,"ESTUDIO RAULI",-34.604134,-58.390884,WPA,Cisco-Li,6,,
00:23:69:C2:B6:47,German,-34.604519,-58.405979,WPA,Cisco-Li,6,,
00:23:69:C2:C1:4B,Resto,-34.617973,-58.364845,WPA,Cisco-Li,10,,
00:23:69:C2:C5:86,Shoes,-34.604153,-58.405380,WPA,Cisco-Li,6,,
00:23:69:C2:C6:91,Arcor-2011,-34.603862,-58.385689,WPA,Cisco-Li,11,,
00:23:69:C2:CF:DF,Sakura,-34.617779,-58.383705,WPA,Cisco-Li,6,,
00:23:69:C3:FE:FF,escribania,-34.603122,-58.371738,WPA,Cisco-Li,6,,
00:23:69:C8:7C:D1,catorce,-34.610387,-58.366270,WEP,Cisco-Li,6,,
00:23:69:D1:CC:65,berrueta,-34.603134,-58.375546,Open,Cisco-Li,0,,
00:23:69:D1:D2:A1,mlr2009,-34.618234,-58.391469,WPA,Cisco-Li,6,,
00:23:69:D1:DC:9A,Fontenla,-34.612160,-58.362785,WEP,Cisco-Li,6,,
00:23:69:D3:9E:DC,fargo61,-34.617621,-58.377313,WPA,Cisco-Li,6,,
00:23:69:D3:AC:AD,Casa,-34.609628,-58.395187,WEP,Cisco-Li,6,,
00:23:69:D3:AE:2D,linksys,-34.603935,-58.384399,WPA,Cisco-Li,11,,
00:23:69:DB:BD:38,BWHRestaurant,-34.604401,-58.397163,WPA,Cisco-Li,1,,
00:23:69:DB:F7:B6,LUCAZ,-34.610023,-58.395122,WPA,Cisco-Li,6,,
00:23:69:E5:F7:5E,ABSWNT2P,-34.617992,-58.364953,WPA,Cisco-Li,6,,
00:23:69:E7:1A:0B,VANNELLI,-34.604519,-58.405979,WPA,Cisco-Li,11,,
00:23:69:EB:3D:A1,MerER,-34.617848,-58.391736,WPA,Cisco-Li,6,,
00:23:69:EB:9F:E0,Vantage,-34.617252,-58.361434,WPA,Cisco-Li,6,,
00:23:69:EB:A4:F9,raquel,-34.611734,-58.361263,WPA,Cisco-Li,6,,
00:23:69:EB:B2:67,castet,-34.603400,-58.379102,WEP,Cisco-Li,6,,
00:23:69:EB:C7:5B,"estudio FB",-34.603962,-58.384563,WPA,Cisco-Li,6,,
00:23:69:EB:CC:E6,linksys,-34.617272,-58.359599,Open,Cisco-Li,6,,
00:23:69:EB:CE:09,URKO,-34.604427,-58.405846,WPA,Cisco-Li,6,,
00:23:69:F0:DD:12,"Callis Technologies",-34.617984,-58.364949,WPA,Cisco-Li,3,,
00:23:69:F0:E5:DC,Lanero,-34.606632,-58.366698,WPA,Cisco-Li,1,,
00:23:69:F2:45:FA,thebox,-34.604341,-58.394489,WPA,Cisco-Li,11,,
00:23:69:F9:C6:AE,"SEA S.A.",-34.606130,-58.366738,WPA,Cisco-Li,1,,
00:23:69:FA:6F:F7,ccp,-34.606279,-58.388140,WEP,Cisco-Li,6,,
00:23:69:FA:81:1F,cui-corrientes,-34.604368,-58.397011,WEP,Cisco-Li,6,,
00:23:69:FA:8E:00,linksys,-34.617779,-58.383749,WPA,Cisco-Li,6,,
00:23:69:FD:78:1F,linksys,-34.614849,-58.392632,WPA,Cisco-Li,6,,
00:23:69:FD:80:7D,Alejandra,-34.608801,-58.395229,WPA,Cisco-Li,11,,
00:23:AB:26:0D:C0,Invitados,-34.617448,-58.365807,Open,Cisco,11,,
00:23:AB:26:0D:C3,"Personal Universidad",-34.617380,-58.365817,Open,Cisco,11,,
00:23:AB:26:0D:C4,Alumnos,-34.617448,-58.365807,Open,Cisco,11,,
00:23:AB:26:14:B0,Invitados,-34.617020,-58.365963,Open,Cisco,1,,
00:23:AB:26:1C:20,Invitados,-34.617226,-58.365858,Open,Cisco,11,,
00:23:AB:26:1C:23,"Personal Universidad",-34.617220,-58.365834,Open,Cisco,11,,
00:23:AB:26:1C:24,Alumnos,-34.617105,-58.366350,Open,Cisco,11,,
00:23:CD:12:6E:46,CircAr,-34.603251,-58.376804,WEP,Tp-LinkT,10,,
00:23:CD:12:6E:D5,AVOSCAR,-34.603043,-58.373714,WEP,Tp-LinkT,6,,
00:23:CD:15:5D:76,SEBASTIAN,-34.618263,-58.391597,WPA,Tp-LinkT,9,,
00:23:CD:16:DE:98,Sala,-34.603411,-58.379180,WPA,Tp-LinkT,1,,
00:23:CD:16:E2:88,TFIN,-34.603092,-58.372410,WPA,Tp-LinkT,6,,
00:23:CD:18:42:F2,"Apart Corrientes",-34.604402,-58.397203,WPA,Tp-LinkT,4,,
00:23:CD:18:43:52,"GTX WI-FI",-34.617651,-58.378087,WPA,Tp-LinkT,9,,
00:23:CD:18:62:E4,seven_wifi,-34.614841,-58.393826,WPA,Tp-LinkT,1,,
00:23:CD:1B:BD:5E,cadenaci,-34.604207,-58.410400,WPA,Tp-LinkT,11,,
00:23:CD:1D:90:8A,IF-Network,-34.611187,-58.395020,WPA,Tp-LinkT,1,,
00:23:CD:1E:C9:C2,AIPB,-34.603222,-58.376606,WPA,Tp-LinkT,1,,
00:23:CD:1E:D2:6E,A-PC_Network,-34.604412,-58.397247,WPA,Tp-LinkT,0,,
00:23:CD:1F:FB:28,"HOTEL DUOMI PLAZA",-34.607559,-58.389005,Open,Tp-LinkT,6,,
00:23:CD:20:8D:3C,lau,-34.603945,-58.384774,WPA,Tp-LinkT,11,,
00:23:CD:C9:D2:98,Hotel_A&amp;B_07,-34.606548,-58.388966,Open,Tp-LinkT,4,,
00:23:CD:CD:71:60,BapluHOTSPOT,-34.604412,-58.397280,WPA,Tp-LinkT,6,,
00:23:CD:CE:E2:A6,ATS-AR,-34.603512,-58.380253,WEP,Tp-LinkT,11,,
00:23:CD:DD:6B:78,SPSA,-34.604040,-58.388411,WPA,Tp-LinkT,6,,
00:23:CD:DF:3C:09,Lugabe_7_Fte,-34.604465,-58.397957,WEP,Tp-LinkT,10,,
00:23:CD:DF:3E:60,ITBA_25M_4PISO,-34.602870,-58.370964,Open,Tp-LinkT,6,,
00:23:EB:61:DB:90,"?Cloaked Network?",-34.603252,-58.376820,Open,Cisco,0,,
00:23:F8:AC:D2:A3,CrII-307,-34.617562,-58.363057,WEP,ZyxelCom,1,,
00:23:F8:AC:D6:5E,aniti,-34.604488,-58.398384,WEP,ZyxelCom,3,,
00:23:F8:AD:71:D9,deboris,-34.616852,-58.391715,WEP,ZyxelCom,11,,
00:23:F8:AD:74:36,speedyvoip,-34.604318,-58.393658,WPA,ZyxelCom,2,,
00:23:F8:AD:74:3B,lamielisima,-34.607171,-58.390578,WEP,ZyxelCom,13,,
00:23:F8:AD:79:8F,Graciela,-34.618050,-58.389931,WEP,ZyxelCom,6,,
00:23:F8:AD:7A:0E,SpeedyWiFi,-34.604324,-58.392269,Open,ZyxelCom,3,,
00:23:F8:AD:7D:D6,avedik,-34.603944,-58.384467,WEP,ZyxelCom,13,,
00:23:F8:AD:7F:4F,internetTV,-34.603316,-58.377765,WPA,ZyxelCom,11,,
00:23:F8:AD:83:36,RICARDO,-34.604461,-58.397996,WEP,ZyxelCom,13,,
00:23:F8:AD:83:72,Studio,-34.603925,-58.383038,WPA,ZyxelCom,13,,
00:23:F8:AD:87:43,OsvaldoF,-34.616915,-58.369696,WEP,ZyxelCom,11,,
00:23:F8:B5:3F:AD,SPEEDY-LOLITA,-34.617458,-58.375553,WEP,ZyxelCom,11,,
00:23:F8:B5:4C:5E,VALENTINO,-34.617794,-58.384790,WEP,ZyxelCom,13,,
00:23:F8:B5:84:84,CAM24,-34.603455,-58.379483,WEP,ZyxelCom,11,,
00:23:F8:B5:8F:68,chicherit,-34.617031,-58.358568,WPA,ZyxelCom,6,,
00:23:F8:B5:91:80,CAM24,-34.604263,-58.401047,WEP,ZyxelCom,11,,
00:23:F8:B7:40:C5,JORGEWIFI,-34.617939,-58.388099,WPA,ZyxelCom,11,,
00:23:F8:B7:43:0E,SpeedyWiFi,-34.614512,-58.394721,WEP,ZyxelCom,13,,
00:23:F8:B7:4A:25,carlos,-34.614571,-58.394706,WPA,ZyxelCom,6,,
00:23:F8:B7:4D:54,WIFIFABIAN,-34.604454,-58.395058,WEP,ZyxelCom,13,,
00:23:F8:B7:50:93,willywifi,-34.607769,-58.389458,WEP,ZyxelCom,6,,
00:23:F8:B7:52:3D,Daniel,-34.604427,-58.405846,WPA,ZyxelCom,1,,
00:23:F8:B9:77:19,escritorio,-34.603090,-58.372189,WEP,ZyxelCom,8,,
00:23:F8:B9:77:3D,gervawifi,-34.618094,-58.390268,WEP,ZyxelCom,1,,
00:23:F8:B9:79:11,Consultorio,-34.616115,-58.391712,WPA,ZyxelCom,13,,
00:23:F8:D9:D6:4E,viviana,-34.617301,-58.360892,WEP,ZyxelCom,11,,
00:23:F8:D9:D8:3C,juan,-34.604146,-58.387546,WEP,ZyxelCom,1,,
00:23:F8:D9:DA:C6,SpeedyWiFi,-34.604492,-58.398514,WEP,ZyxelCom,13,,
00:23:F8:D9:DB:05,VickyLu,-34.617409,-58.374981,WEP,ZyxelCom,11,,
00:23:F8:D9:DF:11,msara,-34.617851,-58.386354,WEP,ZyxelCom,6,,
00:23:F8:DA:0D:3B,Estudio,-34.603909,-58.384094,WEP,ZyxelCom,13,,
00:23:F8:DA:0E:70,SpeedyWiFi,-34.603928,-58.409779,WEP,ZyxelCom,11,,
00:24:01:17:1F:55,JORGE-PC_Network,-34.604134,-58.407696,WPA,D-Link,6,,
00:24:01:19:EC:4D,"Yatam Rumi",-34.616736,-58.391712,WEP,D-Link,6,,
00:24:01:19:EF:55,ILFIUME,-34.617854,-58.364046,WEP,D-Link,6,,
00:24:01:1A:60:D7,monda,-34.604111,-58.390316,WPA,D-Link,6,,
00:24:01:1A:65:69,wifi_ger,-34.617787,-58.384310,WPA,D-Link,6,,
00:24:01:1A:6A:DF,seluan,-34.616484,-58.368358,WPA,D-Link,6,,
00:24:01:1A:6B:37,planking,-34.617195,-58.361788,WPA,D-Link,6,,
00:24:01:1A:75:1D,Casa,-34.617660,-58.377761,WPA,D-Link,6,,
